町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
岩井町,イワイチョウ,男,3643,41,42,20,40,26,28,31,28,27,23,21,22,22,33,27,23,29,23,20,23,22,39,41,50,47,64,54,83,81,87,88,61,70,59,45,61,72,55,44,57,64,68,72,60,63,62,67,51,53,67,50,55,48,32,35,39,44,47,54,25,39,42,53,45,53,54,49,41,25,30,43,41,35,23,27,33,27,12,24,19,15,19,13,15,16,11,8,8,6,13,5,5,3,1,0,3,0,1,1,0,0
岩井町,イワイチョウ,女,3484,43,42,28,22,32,30,17,22,21,20,26,28,25,22,33,27,18,35,24,25,26,29,30,47,34,50,56,64,53,63,54,46,38,40,42,52,63,51,55,59,61,47,52,66,58,57,43,52,50,52,48,42,33,45,34,35,40,41,41,36,44,34,27,42,44,48,55,46,37,27,37,35,41,29,35,35,27,42,28,38,37,40,21,18,20,24,22,24,18,17,20,9,10,11,1,2,5,3,2,3,1
岩間町,イワマチョウ,男,834,6,3,4,4,7,4,5,5,3,7,6,5,7,3,5,2,3,1,5,6,3,6,5,8,6,15,19,17,16,20,17,20,21,21,14,12,15,12,19,9,14,16,9,13,8,14,8,16,12,11,10,6,10,9,6,10,4,6,14,10,9,11,13,12,13,20,13,16,4,9,12,15,19,9,9,7,2,9,8,5,7,6,6,6,9,0,2,2,3,0,2,2,0,0,0,0,2,0,0,0,0
岩間町,イワマチョウ,女,851,3,4,2,3,0,4,5,3,4,6,2,4,3,3,5,1,1,5,4,2,3,7,6,9,10,11,11,14,23,17,15,11,13,14,10,12,9,14,12,13,10,12,13,15,15,13,9,15,7,12,5,12,11,4,9,7,9,11,11,12,12,11,18,12,8,24,12,14,10,12,8,14,12,9,8,6,15,12,14,8,10,10,16,9,4,8,3,5,6,4,4,5,2,7,1,2,3,0,1,0,2
 # 岩間町１丁目,イワマチョウ1,男,518,4,1,3,2,7,3,5,4,2,6,6,3,5,2,4,2,2,0,4,5,1,5,2,4,4,9,9,9,8,7,8,10,12,12,9,6,11,6,13,6,9,14,5,8,5,11,4,10,8,8,9,4,5,4,3,7,1,4,8,10,5,9,12,8,8,10,7,10,4,3,7,12,12,5,6,2,2,6,5,3,4,2,4,2,6,0,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0
 # 岩間町１丁目,イワマチョウ1,女,514,1,3,2,3,0,2,3,3,3,4,2,3,3,3,3,0,0,3,3,1,0,6,2,7,7,6,7,7,10,7,6,4,5,9,5,7,4,7,8,9,6,6,8,8,12,10,8,9,4,8,4,7,4,3,6,5,7,7,6,8,9,8,15,10,5,17,6,7,7,7,5,5,7,7,6,3,12,9,7,3,6,5,13,5,1,3,2,4,1,3,3,2,2,3,0,0,2,0,0,0,0
 # 岩間町２丁目,イワマチョウ2,男,316,2,2,1,2,0,1,0,1,1,1,0,2,2,1,1,0,1,1,1,1,2,1,3,4,2,6,10,8,8,13,9,10,9,9,5,6,4,6,6,3,5,2,4,5,3,3,4,6,4,3,1,2,5,5,3,3,3,2,6,0,4,2,1,4,5,10,6,6,0,6,5,3,7,4,3,5,0,3,3,2,3,4,2,4,3,0,1,1,3,0,1,0,0,0,0,0,1,0,0,0,0
 # 岩間町２丁目,イワマチョウ2,女,337,2,1,0,0,0,2,2,0,1,2,0,1,0,0,2,1,1,2,1,1,3,1,4,2,3,5,4,7,13,10,9,7,8,5,5,5,5,7,4,4,4,6,5,7,3,3,1,6,3,4,1,5,7,1,3,2,2,4,5,4,3,3,3,2,3,7,6,7,3,5,3,9,5,2,2,3,3,3,7,5,4,5,3,4,3,5,1,1,5,1,1,3,0,4,1,2,1,0,1,0,2
岩崎町,イワサキチョウ,男,1274,5,5,5,7,9,6,11,10,9,10,12,16,12,9,12,11,18,13,26,21,16,19,22,20,18,10,6,6,11,11,9,10,4,11,14,12,16,11,20,15,21,19,16,23,31,17,20,23,18,23,17,21,17,20,24,17,18,9,23,13,19,11,18,23,19,18,23,25,12,18,24,19,19,12,14,13,10,14,12,10,8,11,7,5,10,6,0,6,4,0,1,0,3,1,1,0,0,0,0,0,0
岩崎町,イワサキチョウ,女,1461,7,7,5,4,15,6,9,8,14,12,8,8,15,13,16,11,15,12,18,10,16,27,19,10,12,10,11,11,9,7,13,9,7,11,10,14,11,19,17,17,25,19,19,22,19,27,26,24,17,26,27,14,28,18,20,19,19,19,20,12,13,17,13,23,21,33,28,24,16,22,15,25,26,24,22,16,15,20,13,17,24,14,16,17,12,12,12,7,15,6,5,7,2,5,7,1,1,0,0,0,2
釜台町,カマダイチョウ,男,1733,12,7,15,12,15,12,12,13,7,13,15,15,23,7,12,13,16,13,18,30,23,27,37,36,24,28,27,20,26,14,26,19,23,28,21,22,22,19,22,25,31,22,27,33,27,36,22,35,28,28,30,36,22,29,24,32,16,26,21,11,21,29,18,20,30,20,23,24,17,11,13,12,14,19,15,8,11,12,9,15,11,14,5,9,8,8,11,9,3,4,1,0,1,0,1,1,0,0,0,1,0
釜台町,カマダイチョウ,女,1749,10,12,17,9,17,9,12,15,12,14,13,15,15,10,19,14,24,17,21,16,25,25,26,16,24,15,18,23,21,16,8,25,30,12,17,18,19,24,22,18,25,23,37,31,29,31,31,30,19,36,33,28,29,21,18,13,24,27,20,30,25,22,24,14,16,26,26,19,17,9,23,17,20,21,20,12,16,18,17,20,12,16,15,17,13,11,8,10,4,7,7,5,4,4,2,0,1,1,0,0,2
鎌谷町,カマヤチョウ,男,2206,11,15,15,11,19,15,18,18,28,16,16,12,19,19,25,30,16,27,17,27,17,23,22,25,20,25,29,24,28,25,22,22,29,18,27,31,29,36,40,33,30,28,47,33,37,51,48,43,41,36,45,24,37,36,28,26,22,26,27,28,26,17,18,28,37,30,26,34,12,21,20,29,21,25,18,19,18,22,21,20,16,17,25,18,14,12,8,4,7,5,8,7,6,1,1,1,2,0,0,0,0
鎌谷町,カマヤチョウ,女,2167,6,6,11,7,19,16,12,15,22,16,37,17,23,12,11,23,20,21,28,18,19,25,14,25,36,19,12,18,21,21,16,29,23,20,19,25,23,26,38,38,19,31,30,31,39,29,40,29,40,32,31,24,22,28,25,25,22,20,23,26,27,29,11,26,27,29,29,28,15,25,29,24,39,39,22,26,27,28,28,43,25,30,32,14,15,19,20,11,9,12,14,10,11,5,3,3,3,2,1,3,1
上星川一丁目,カミホシカワ1,男,445,5,4,2,5,3,3,1,5,6,2,7,2,3,8,4,5,3,3,8,5,4,9,8,4,5,7,6,5,5,6,9,7,4,5,11,4,5,10,3,7,4,7,4,11,12,13,10,10,6,13,10,3,6,6,10,5,9,5,8,7,3,2,1,4,4,6,4,2,1,2,2,3,1,2,4,5,6,2,6,5,1,1,2,4,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
上星川一丁目,カミホシカワ1,女,475,3,3,3,2,5,3,3,4,6,4,5,3,7,5,9,3,2,5,3,3,8,6,7,10,7,9,10,7,3,6,8,3,6,8,2,5,8,3,8,8,7,12,5,9,7,7,11,9,7,2,14,9,3,3,8,5,6,3,8,6,2,2,4,1,2,5,2,3,1,10,5,5,7,4,7,7,6,6,1,3,3,4,4,3,9,3,1,4,0,0,1,3,0,0,1,0,1,0,0,0,1
上星川二丁目,カミホシカワ2,男,1747,9,6,11,11,13,10,10,11,13,17,21,20,17,14,17,17,15,22,17,25,26,25,22,27,28,24,25,15,17,22,16,12,24,16,22,11,15,31,19,21,25,34,29,22,29,35,37,41,24,34,26,29,32,21,31,26,12,26,27,12,25,25,17,27,21,23,20,22,20,11,25,18,22,22,15,14,15,16,17,18,15,6,9,17,7,7,9,2,6,4,3,0,2,0,0,1,0,0,0,0,0
上星川二丁目,カミホシカワ2,女,1698,5,12,5,6,14,11,9,14,15,11,13,17,18,15,19,21,16,18,24,27,22,16,22,19,20,24,22,11,14,18,16,13,14,18,15,20,12,11,26,23,32,30,30,32,27,31,33,41,32,21,16,27,13,27,24,21,18,22,14,24,21,23,17,19,21,18,19,18,15,24,27,18,25,15,15,15,20,17,21,22,21,13,11,15,12,12,17,11,6,5,2,5,4,2,1,0,1,1,2,2,4
上星川三丁目,カミホシカワ3,男,814,7,15,7,3,7,3,8,6,5,2,6,7,6,4,5,4,2,8,4,5,4,6,14,12,4,2,11,8,7,12,13,7,20,9,17,11,19,10,12,13,17,14,17,21,12,22,13,16,8,14,13,8,9,8,9,7,10,9,6,7,8,8,10,9,12,21,13,11,11,4,12,11,9,14,7,15,7,7,9,7,8,8,6,2,5,3,4,3,3,1,0,0,0,0,1,0,0,0,0,0,0
上星川三丁目,カミホシカワ3,女,895,7,5,4,11,9,9,8,5,7,2,6,5,7,3,5,3,4,6,6,11,6,4,10,3,11,8,11,8,12,9,12,9,18,13,11,20,17,15,16,13,6,19,15,9,22,8,15,6,8,6,15,7,8,8,9,9,12,11,9,5,6,11,14,16,11,21,19,15,10,18,7,19,13,9,17,13,13,7,16,14,6,7,8,4,8,6,7,3,3,5,2,1,5,1,2,2,0,0,0,0,0
上菅田町,カミスゲダチョウ,男,7161,60,72,71,70,64,47,55,56,46,65,67,64,63,60,59,73,57,55,72,57,65,50,66,61,67,57,65,58,69,58,71,83,78,94,106,86,101,115,110,99,119,136,145,117,130,118,124,121,97,100,100,96,80,88,80,87,59,77,62,80,85,87,93,114,85,116,116,95,73,82,116,106,102,95,93,93,99,113,98,82,74,60,59,38,33,22,32,18,18,14,13,10,8,2,4,3,0,0,0,1,1
上菅田町,カミスゲダチョウ,女,7235,49,49,70,54,72,53,68,51,69,55,56,45,56,49,55,48,56,55,56,57,52,58,51,61,42,55,44,55,54,70,53,68,79,99,88,78,111,94,101,105,93,111,111,112,90,108,101,94,86,80,95,93,89,83,79,59,69,66,62,59,63,99,93,110,104,129,128,134,100,102,114,124,149,136,123,106,115,126,120,96,79,87,72,67,44,47,48,40,33,42,18,16,24,14,13,10,12,4,2,3,8
狩場町,カリバチョウ,男,3680,22,23,20,18,25,32,22,26,21,29,41,29,41,42,38,40,40,40,36,48,35,48,52,28,35,31,41,32,28,35,38,39,38,48,43,39,48,40,43,60,67,58,53,48,71,60,78,64,53,73,66,70,67,60,56,47,43,46,50,43,48,67,75,64,58,73,64,78,47,38,39,40,38,43,38,31,27,27,18,31,14,23,13,11,10,13,9,7,5,9,3,1,3,5,2,0,0,0,1,0,0
狩場町,カリバチョウ,女,3775,13,21,18,20,28,24,24,31,29,30,41,32,38,33,47,36,51,45,50,37,29,34,31,37,27,42,26,27,31,32,40,40,43,37,44,30,47,36,50,57,61,59,53,63,60,67,58,58,55,72,60,53,54,46,53,47,51,40,65,42,65,79,62,58,66,83,71,68,40,34,35,41,40,41,44,26,28,30,37,38,24,26,17,33,18,20,20,15,17,21,13,11,9,12,11,4,4,2,3,0,4
霞台,カスミダイ,男,1275,8,10,7,12,5,12,13,8,9,12,11,18,5,9,14,17,16,16,12,12,10,15,17,15,11,12,14,14,12,11,16,20,14,14,13,18,15,18,21,20,12,24,22,28,33,24,30,18,12,18,20,21,21,18,15,21,9,13,13,11,14,18,19,12,20,22,26,18,7,16,15,6,14,16,12,10,13,9,10,11,11,10,11,7,7,6,2,4,4,4,5,3,1,0,0,2,0,0,0,0,1
霞台,カスミダイ,女,1340,6,4,6,6,12,11,8,11,14,7,14,21,17,16,16,11,15,10,11,11,11,8,13,7,12,15,14,10,10,13,12,8,11,15,10,19,20,11,19,16,18,19,38,36,24,24,26,17,18,23,16,11,21,18,15,13,16,14,11,7,15,13,17,16,17,18,22,21,9,18,14,17,21,18,18,12,17,15,12,16,16,12,15,18,11,15,8,14,7,6,3,5,3,6,1,3,0,5,0,0,0
帷子町,カタビラチョウ,男,683,5,3,2,4,5,3,6,11,8,5,8,6,8,3,5,7,10,5,6,7,6,2,4,7,5,11,9,10,8,15,8,12,11,6,14,9,10,9,10,13,12,15,12,11,13,14,21,20,10,12,14,15,10,6,14,10,13,6,8,9,7,8,9,11,7,5,11,11,5,3,8,4,8,5,2,2,6,4,3,2,2,2,3,1,5,2,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0
帷子町,カタビラチョウ,女,703,6,4,4,2,3,7,3,5,3,9,5,7,3,10,5,5,8,5,9,5,8,3,5,4,8,7,5,5,12,8,11,12,8,11,12,11,8,10,10,13,15,18,13,10,20,22,15,14,9,8,12,10,11,14,10,7,6,4,3,11,11,6,9,11,3,12,10,15,4,2,9,2,7,7,4,6,4,8,5,9,8,6,3,4,4,3,4,3,4,2,1,2,1,0,1,0,0,0,0,0,2
 # 帷子町１丁目,カタビラチョウ1,男,304,2,2,2,2,3,1,4,7,2,3,5,0,7,3,3,2,2,1,1,2,2,0,3,2,2,4,4,4,1,5,4,7,3,1,6,3,5,4,3,7,3,8,7,8,5,7,7,9,3,10,2,10,4,4,8,3,3,3,4,3,2,4,6,8,5,2,8,8,1,1,2,1,1,1,2,1,1,1,0,2,0,2,1,1,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 # 帷子町１丁目,カタビラチョウ1,女,327,4,1,0,0,1,2,3,1,2,6,1,3,3,4,4,3,6,3,4,3,3,1,3,2,6,4,2,4,1,4,3,8,2,5,4,6,3,2,3,4,7,10,5,4,8,10,6,4,6,5,6,7,4,9,5,3,3,2,2,5,6,4,4,7,1,5,8,6,2,0,2,1,4,0,2,1,1,3,2,4,5,5,1,1,2,3,3,1,3,1,0,2,1,0,0,0,0,0,0,0,1
 # 帷子町２丁目,カタビラチョウ2,男,379,3,1,0,2,2,2,2,4,6,2,3,6,1,0,2,5,8,4,5,5,4,2,1,5,3,7,5,6,7,10,4,5,8,5,8,6,5,5,7,6,9,7,5,3,8,7,14,11,7,2,12,5,6,2,6,7,10,3,4,6,5,4,3,3,2,3,3,3,4,2,6,3,7,4,0,1,5,3,3,0,2,0,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
 # 帷子町２丁目,カタビラチョウ2,女,376,2,3,4,2,2,5,0,4,1,3,4,4,0,6,1,2,2,2,5,2,5,2,2,2,2,3,3,1,11,4,8,4,6,6,8,5,5,8,7,9,8,8,8,6,12,12,9,10,3,3,6,3,7,5,5,4,3,2,1,6,5,2,5,4,2,7,2,9,2,2,7,1,3,7,2,5,3,5,3,5,3,1,2,3,2,0,1,2,1,1,1,0,0,0,1,0,0,0,0,0,1
川辺町,カワベチョウ,男,2514,26,27,30,37,27,28,24,24,22,26,20,32,27,27,42,22,24,27,33,21,31,22,18,19,14,15,13,21,15,21,31,27,24,31,34,36,31,39,48,46,42,49,36,51,41,44,69,54,51,54,55,52,43,39,36,39,34,39,40,31,25,27,27,29,34,43,34,28,23,17,18,22,17,16,18,19,15,17,14,14,7,17,7,7,4,4,5,3,6,5,3,2,1,1,2,1,1,0,0,0,0
川辺町,カワベチョウ,女,2814,25,39,26,24,30,18,20,21,22,21,25,34,20,28,31,28,40,38,32,32,32,28,16,23,11,24,12,28,21,25,28,29,34,30,37,37,42,52,39,37,47,38,57,58,61,54,66,63,46,61,58,58,48,47,46,41,28,33,27,27,30,26,29,39,43,31,35,36,20,25,39,26,29,39,26,16,16,22,19,25,17,20,13,13,18,12,8,8,6,3,6,3,8,1,1,0,0,0,1,0,2
川島町,カワシマチョウ,男,4528,28,24,35,26,28,30,34,33,37,37,36,32,39,27,35,35,41,53,42,40,53,47,43,46,42,42,47,48,43,55,41,46,43,47,50,45,51,62,60,67,71,64,71,60,72,65,70,75,56,59,73,73,57,47,56,43,63,61,38,52,56,50,53,65,66,88,90,73,40,54,68,66,64,75,67,65,68,55,63,61,50,52,43,37,33,36,20,22,13,13,10,5,6,1,2,0,1,1,0,0,0
川島町,カワシマチョウ,女,4941,38,15,32,31,33,27,28,27,28,29,26,24,36,36,33,41,28,40,45,46,51,48,46,46,43,52,40,33,46,43,46,49,68,44,54,47,46,50,51,55,63,59,69,66,59,79,65,65,55,61,62,66,51,55,55,52,53,56,52,64,52,72,63,69,98,81,87,86,52,72,88,86,90,90,91,82,97,76,90,71,61,66,67,53,53,39,39,24,24,19,21,14,12,15,10,4,4,4,3,2,6
東川島町,ヒガシカワシマチョウ,男,2187,12,19,16,17,17,16,17,21,13,7,20,23,18,17,25,26,22,25,22,23,18,22,39,32,31,22,26,31,23,21,22,19,19,33,24,30,29,29,41,20,39,36,45,49,47,29,51,52,34,38,33,33,35,39,24,24,24,22,31,20,22,31,33,36,34,36,30,28,21,18,24,23,25,16,24,21,18,11,20,11,17,12,8,5,4,7,15,4,5,4,4,1,3,2,0,0,1,1,0,0,0
東川島町,ヒガシカワシマチョウ,女,2077,12,10,9,15,9,13,12,13,13,16,13,13,18,24,31,20,29,19,22,21,23,16,16,23,22,21,20,25,23,18,19,19,24,29,29,26,17,21,34,33,36,40,33,28,34,37,38,35,34,34,36,30,19,23,27,24,28,22,18,21,23,26,24,36,33,37,23,31,25,17,33,23,31,28,22,13,24,17,16,29,23,14,14,19,10,14,23,11,7,9,7,9,4,4,2,2,3,1,0,0,3
峰岡町,ミネオカチョウ,男,3230,11,16,14,12,20,16,25,15,23,26,29,21,25,23,29,18,18,30,26,40,50,57,71,66,69,51,58,45,40,45,42,28,39,42,41,47,30,35,55,42,58,39,61,50,54,63,48,54,32,63,34,43,55,39,41,47,38,38,42,32,44,40,31,46,57,42,38,51,25,31,31,44,43,37,37,30,31,22,21,18,11,21,21,22,19,13,21,10,11,12,10,4,4,5,2,2,1,0,0,1,0
峰岡町,ミネオカチョウ,女,3158,13,12,14,14,10,21,26,23,18,12,23,24,24,25,24,28,24,23,19,29,35,33,44,32,45,39,39,42,24,37,37,34,32,35,35,31,46,41,39,37,35,50,49,50,44,54,49,47,29,46,51,41,36,38,39,38,39,34,38,28,44,44,49,50,47,42,50,52,24,33,55,33,49,29,30,23,28,49,36,48,43,31,34,45,37,30,23,23,23,17,14,7,7,4,4,6,3,3,5,4,2
 # 峰岡町１丁目,ミネオカチョウ1,男,1117,5,5,4,5,10,6,5,5,10,8,7,5,10,7,9,6,8,14,9,10,8,13,24,19,17,16,22,18,11,15,16,13,9,13,10,9,17,15,16,12,24,7,24,15,18,23,21,22,14,22,14,19,22,16,20,22,16,13,12,8,22,17,11,15,23,18,16,21,14,12,7,13,12,11,15,5,13,7,7,5,5,5,6,9,3,5,5,4,3,6,2,0,2,3,0,1,0,0,0,1,0
 # 峰岡町１丁目,ミネオカチョウ1,女,1115,4,5,5,4,3,11,11,9,10,4,8,7,9,11,9,8,7,8,7,12,11,10,18,11,12,11,13,19,6,10,8,12,13,7,11,10,19,13,18,11,11,28,21,17,15,19,19,20,11,22,25,14,16,15,14,16,13,11,12,10,15,19,16,29,8,23,18,18,12,6,12,4,18,7,9,5,10,15,13,18,13,15,8,12,11,10,8,6,6,2,5,3,3,2,1,1,1,2,3,3,1
 # 峰岡町２丁目,ミネオカチョウ2,男,1412,5,9,5,3,6,7,8,5,9,15,11,13,13,13,15,8,6,14,11,17,25,25,24,24,29,20,26,14,20,21,22,13,19,19,23,23,6,12,27,20,24,20,24,24,25,26,23,21,15,28,17,14,26,16,12,16,14,16,20,15,15,16,15,25,23,16,17,18,10,10,20,24,24,18,15,15,13,12,9,7,4,12,8,11,11,3,11,2,7,6,4,2,2,2,2,1,1,0,0,0,0
 # 峰岡町２丁目,ミネオカチョウ2,女,1399,6,2,6,9,7,6,10,6,5,2,11,12,13,11,15,15,14,11,10,8,13,16,15,14,20,18,14,17,13,15,22,14,13,17,21,15,19,17,10,16,16,17,18,24,19,24,21,19,17,16,16,17,15,13,19,16,19,15,20,10,20,16,20,18,23,15,25,20,9,20,29,19,20,17,15,10,14,25,18,18,23,11,20,23,21,15,9,13,10,12,6,2,3,2,2,2,1,0,2,1,1
 # 峰岡町３丁目,ミネオカチョウ3,男,701,1,2,5,4,4,3,12,5,4,3,11,3,2,3,5,4,4,2,6,13,17,19,23,23,23,15,10,13,9,9,4,2,11,10,8,15,7,8,12,10,10,12,13,11,11,14,4,11,3,13,3,10,7,7,9,9,8,9,10,9,7,7,5,6,11,8,5,12,1,9,4,7,7,8,7,10,5,3,5,6,2,4,7,2,5,5,5,4,1,0,4,2,0,0,0,0,0,0,0,0,0
 # 峰岡町３丁目,ミネオカチョウ3,女,644,3,5,3,1,0,4,5,8,3,6,4,5,2,3,0,5,3,4,2,9,11,7,11,7,13,10,12,6,5,12,7,8,6,11,3,6,8,11,11,10,8,5,10,9,10,11,9,8,1,8,10,10,5,10,6,6,7,8,6,8,9,9,13,3,16,4,7,14,3,7,14,10,11,5,6,8,4,9,5,12,7,5,6,10,5,5,6,4,7,3,3,2,1,0,1,3,1,1,0,0,0
峰沢町,ミネザワチョウ,男,1922,5,4,14,13,15,10,14,18,14,16,13,17,8,16,17,9,13,11,11,30,33,12,30,35,31,34,33,22,29,34,30,28,22,30,27,31,31,32,30,25,36,36,17,40,18,31,24,32,27,31,18,26,18,5,16,29,17,18,30,23,20,15,27,29,35,29,23,32,17,19,24,28,29,23,22,24,22,25,22,18,15,13,12,9,9,10,6,2,4,5,7,4,2,1,0,1,0,0,0,0,0
